ID,Usuario,Actividad,Fecha y Hora
20231005021405784907,admin,Cierre de sesiï¿½n,2023-10-05 02:14:05
20231005021815343153,admin,Inicio Index,2023-10-05 02:18:15
20231005021823502075,admin,Inicio Index,2023-10-05 02:18:23
20231005021824117415,admin,Inicio Index,2023-10-05 02:18:24
20231005021824554756,admin,Inicio Index,2023-10-05 02:18:24
20231005021906056126,admin,Inicio Index,2023-10-05 02:19:06
20231005021908703208,admin,Inicio Ventas,2023-10-05 02:19:08
20231005021910652408,admin,Inicio Ventas,2023-10-05 02:19:10
20231005021911277330,admin,Inicio Ventas,2023-10-05 02:19:11
20231005021912450824,admin,Inicio Index,2023-10-05 02:19:12
20231005021912985470,admin,Inicio Ventas,2023-10-05 02:19:12
20231005022025926749,admin,Inicio Index,2023-10-05 02:20:25
20231005022027159918,admin,Inicio Ventas,2023-10-05 02:20:27
20231005022104128264,admin,Inicio Index,2023-10-05 02:21:04
20231005022107010664,admin,Inicio Ventas,2023-10-05 02:21:07
20231005022135372530,admin,Inicio Inventario,2023-10-05 02:21:35
20231005022138220253,admin,Inicio Inventario,2023-10-05 02:21:38
20231005022140589736,admin,Inicio Inventario,2023-10-05 02:21:40
20231005022216640597,admin,Inicio Registro de Articulo,2023-10-05 02:22:16
20231005022317937880,admin,Inicio Editar Articulo,2023-10-05 02:23:17
20231005022405883592,admin,Inicio Registro usuario,2023-10-05 02:24:05
20231005022409881416,admin,Inicio Index,2023-10-05 02:24:09
20231005022450101374,admin,Inicio Cambiar Folio,2023-10-05 02:24:50
20231005022450879546,admin,Inicio Cambiar Folio,2023-10-05 02:24:50
20231005022451255740,admin,Inicio Cambiar Folio,2023-10-05 02:24:51
20231005022451405113,admin,Inicio Cambiar Folio,2023-10-05 02:24:51
20231005022644984559,admin,Inicio  auditoria,2023-10-05 02:26:44
20231005022646491300,admin,Inicio Editar Articulo,2023-10-05 02:26:46
20231005022647855986,admin,Inicio Registro de Articulo,2023-10-05 02:26:47
20231005022649106665,admin,Inicio Inventario,2023-10-05 02:26:49
20231005022712918925,admin,Inicio mostrar auditoria,2023-10-05 02:27:12
20231005022721496262,admin,Inicio Informes,2023-10-05 02:27:21
20231005022723183956,admin,Inicio Informes,2023-10-05 02:27:23
20231005022724435276,admin,Inicio Inventario,2023-10-05 02:27:24
20231005022725511094,admin,Inicio Ventas,2023-10-05 02:27:25
20231005022726755389,admin,Inicio Index,2023-10-05 02:27:26
20231005022728059991,admin,Inicio Registro de Articulo,2023-10-05 02:27:28
20231005022729379297,admin,Inicio Editar Articulo,2023-10-05 02:27:29
20231005022732271652,admin,Inicio  auditoria,2023-10-05 02:27:32
20231005022734153989,admin,Inicio Cambiar Folio,2023-10-05 02:27:34
20231005022735370165,admin,Inicio Registro usuario,2023-10-05 02:27:35
20231005022813245348,admin,Inicio informaciï¿½n empresa,2023-10-05 02:28:13
20231005022816514397,admin,Inicio informaciï¿½n empresa,2023-10-05 02:28:16
20231005022816898945,admin,Inicio informaciï¿½n empresa,2023-10-05 02:28:16
20231005022817139276,admin,Inicio informaciï¿½n empresa,2023-10-05 02:28:17
20231005022817358901,admin,Inicio informaciï¿½n empresa,2023-10-05 02:28:17
20231005022817529250,admin,Inicio informaciï¿½n empresa,2023-10-05 02:28:17
20231005022817704500,admin,Inicio informaciï¿½n empresa,2023-10-05 02:28:17
